"question_title"",""option1"",""option2"",""option3"",""option4"
"Which of the following court is also called as World Court?"",""International Court of Justice"",""International Criminal Court"",""International Supreme Court"",""International UN Court"
"Source of authority and power of Indian Constitution is derived from?"",""Preamble"",""Supreme Court"",""People of India"",""Parliament"
"Who was recently elected as the President of FICCI for the year 2017? "",""Harshavardhan Neotia"",""Pankaj R. Patel"",""Jyotsna Suri"",""Rashesh Shah"
"Name the instant messaging mobile application launched by Google."",""Hello"",""Ello"",""Aloo"",""Allo"
" Who is appointed as the Chairman of Life Insurance Corporation (LIC) of India?"",""Usha Pal"",""Usha Sangwan"",""VK Sharma"",""Nitin Srivastav"
"Nomad Film Festival 2016 started in which of the following cities?"",""Mumbai"",""Jaipur"",""Jabalpur"",""New Delhi"
"Which village became the first Wi-fi hotspot village in Haryana?"",""Bahu-Jholri"",""Rewari Khera"",""Gumthala Garhu"",""Thamber"
"Which company has acquired gaming (interactive livestreaming) startup Beam?"",""Apple"",""Microsoft"",""Google"",""IBM"
"Who is recently appointed as the Managing Director of the State Bank of India?"",""Shri Rajnish Kumar"",""Shri Sanjiv Malhotra"",""Arundhati Bhattacharya"",""Dinesh Kumar Khara"
"The fathers of the Internet is ?"",""Marc Andreessen"",""Tim Berners-Lee"",""Vint Cerf"",""James T Russel"
"'Do no evil' is tag line of ......? "",""IBM"",""Microsoft"",""Google"",""You Tube"
